movieId;title;genres;rating_avg;rating_count
1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;3.92093023255814;215
13;Balto (1995);Adventure|Animation|Children;3.125;8
48;Pocahontas (1995);Animation|Children|Drama|Musical|Romance;3.147058823529412;68
239;Goofy Movie, A (1995);Animation|Children|Comedy|Romance;3.0;17
313;Swan Princess, The (1994);Animation|Children;3.333333333333333;3
364;Lion King, The (1994);Adventure|Animation|Children|Drama|Musical|IMAX;3.9418604651162794;172
551;Nightmare Before Christmas, The (1993);Animation|Children|Fantasy|Musical;3.553763440860215;93
558;Pagemaster, The (1994);Action|Adventure|Animation|Children|Fantasy;2.9375;8
588;Aladdin (1992);Adventure|Animation|Children|Comedy|Musical;3.792349726775957;183
594;Snow White and the Seven Dwarfs (1937);Animation|Children|Drama|Fantasy|Musical;3.616883116883117;77
595;Beauty and the Beast (1991);Animation|Children|Fantasy|Musical|Romance|IMAX;3.7705479452054793;146
596;Pinocchio (1940);Animation|Children|Fantasy|Musical;3.45;60
610;Heavy Metal (1981);Action|Adventure|Animation|Horror|Sci-Fi;3.5454545454545454;33
616;Aristocats, The (1970);Animation|Children;3.411111111111111;45
631;All Dogs Go to Heaven 2 (1996);Adventure|Animation|Children|Fantasy|Musical|Romance;3.1818181818181817;11
661;James and the Giant Peach (1996);Adventure|Animation|Children|Fantasy|Musical;3.4489795918367347;49
673;Space Jam (1996);Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi;2.707547169811321;53
709;Oliver & Company (1988);Adventure|Animation|Children|Comedy|Musical;3.0909090909090917;11
720;Wallace & Gromit: The Best of Aardman Animation (1996);Adventure|Animation|Comedy;4.0925925925925934;27
741;Ghost in the Shell (Kôkaku kidôtai) (1995);Animation|Sci-Fi;4.148148148148148;27
745;Wallace & Gromit: A Close Shave (1995);Animation|Children|Comedy;3.8958333333333335;48
783;Hunchback of Notre Dame, The (1996);Animation|Children|Drama|Musical|Romance;3.3297872340425534;47
888;Land Before Time III: The Time of the Great Giving (1995);Adventure|Animation|Children|Musical;2.1666666666666665;3
1022;Cinderella (1950);Animation|Children|Fantasy|Musical|Romance;3.488095238095238;42
1023;Winnie the Pooh and the Blustery Day (1968);Animation|Children|Musical;3.6153846153846163;13
1024;Three Caballeros, The (1945);Animation|Children|Musical;3.6666666666666665;6
1025;Sword in the Stone, The (1963);Animation|Children|Fantasy|Musical;3.58;25
1029;Dumbo (1941);Animation|Children|Drama|Musical;3.3857142857142857;35
1030;Pete's Dragon (1977);Adventure|Animation|Children|Musical;2.7666666666666666;15
1032;Alice in Wonderland (1951);Adventure|Animation|Children|Fantasy|Musical;3.375;40
1033;Fox and the Hound, The (1981);Animation|Children|Drama;3.575;20
1064;Aladdin and the King of Thieves (1996);Animation|Children|Comedy|Fantasy|Musical|Romance;3.1538461538461537;13
1148;Wallace & Gromit: The Wrong Trousers (1993);Animation|Children|Comedy|Crime;4.035714285714286;56
1151;Lesson Faust (1994);Animation|Comedy|Drama|Fantasy;5.0;2
1223;Grand Day Out with Wallace and Gromit, A (1989);Adventure|Animation|Children|Comedy|Sci-Fi;4.089285714285714;28
1274;Akira (1988);Action|Adventure|Animation|Sci-Fi;3.743589743589743;39
1282;Fantasia (1940);Animation|Children|Fantasy|Musical;3.783018867924529;53
1405;Beavis and Butt-Head Do America (1996);Adventure|Animation|Comedy|Crime;2.935483870967741;31
1489;Cats Don't Dance (1997);Animation|Children|Musical;3.0;2
1566;Hercules (1997);Adventure|Animation|Children|Comedy|Musical;3.4516129032258065;31
1688;Anastasia (1997);Adventure|Animation|Children|Drama|Musical;3.35;20
1881;Quest for Camelot (1998);Adventure|Animation|Children|Fantasy|Musical;2.0;2
1907;Mulan (1998);Adventure|Animation|Children|Comedy|Drama|Musical|Romance;3.566666666666667;45
1920;Small Soldiers (1998);Animation|Children|Fantasy|War;2.833333333333333;18
2018;Bambi (1942);Animation|Children|Drama;3.3684210526315788;38
2033;Black Cauldron, The (1985);Adventure|Animation|Children|Fantasy;3.75;8
2048;Great Mouse Detective, The (1986);Action|Animation|Children|Crime;3.5625;8
2078;Jungle Book, The (1967);Animation|Children|Comedy|Musical;3.830188679245283;53
2080;Lady and the Tramp (1955);Animation|Children|Comedy|Romance;3.4;55
2081;Little Mermaid, The (1989);Animation|Children|Comedy|Musical|Romance;3.425373134328358;67
2085;101 Dalmatians (One Hundred and One Dalmatians) (1961);Adventure|Animation|Children;3.4318181818181817;44
2087;Peter Pan (1953);Animation|Children|Fantasy|Musical;3.5731707317073167;41
2089;Rescuers Down Under, The (1990);Adventure|Animation|Children;3.5;10
2090;Rescuers, The (1977);Adventure|Animation|Children|Crime|Drama;3.1923076923076925;13
2092;Return of Jafar, The (1994);Adventure|Animation|Children|Fantasy|Musical|Romance;2.4166666666666665;6
2096;Sleeping Beauty (1959);Animation|Children|Musical;3.4090909090909087;22
2099;Song of the South (1946);Adventure|Animation|Children|Musical;3.4166666666666665;6
2102;Steamboat Willie (1928);Animation|Children|Comedy|Musical;2.333333333333333;3
2116;Lord of the Rings, The (1978);Adventure|Animation|Children|Fantasy;3.1333333333333333;15
2123;All Dogs Go to Heaven (1989);Animation|Children|Comedy|Drama|Fantasy;2.7;15
2137;Charlotte's Web (1973);Animation|Children;3.5476190476190474;21
2138;Watership Down (1978);Adventure|Animation|Children|Drama|Fantasy;4.05;10
